species,substance,delta
Ent. faecalis,SXT,-0.094
Ent. faecalis,TPL,-0.1433
Ent. faecalis,VAN,0.0025
S. aureus,AMK,-41.9907
S. aureus,AMS,-6.7619
S. aureus,CIP,-3.5813
S. aureus,CLI,-47.0967
S. aureus,CTX,-18.7774
S. aureus,CXM,-105.3327
S. aureus,DOX,-8.9084
S. aureus,DPT,-6.3615
S. aureus,FOS,-49.3233
S. aureus,GEN,-74.0009
S. aureus,IMP,-1.4076
S. aureus,LEV,-4.5638
S. aureus,LIZ,-4.6291
S. aureus,MER,-1.9582
S. aureus,MOX,-2.5878
S. aureus,PIT,-4.7571
S. aureus,RAM,-5.0511
S. aureus,ROX,-47.2905
S. aureus,SXT,-2.3253
S. aureus,TOB,441.2741
S. aureus,TPL,-1.4381
S. aureus,VAN,-4.7852
Ent. faecalis,AMS,-0.3094
Ent. faecalis,IMP,-0.3745
Ent. faecalis,LIZ,0.1103
Ent. faecalis,PIP,16.736
Ent. faecalis,PIT,0.0967
Ent. faecalis,SXT,-0.1867
Ent. faecalis,TPL,-0.1549
Ent. faecalis,VAN,-0.0343
S. aureus,AMK,-2.9696
S. aureus,AMS,-0.2677
S. aureus,CIP,-1.19
S. aureus,CLI,-0.4593
S. aureus,CTX,-1.9811
S. aureus,CXM,-5.5048
S. aureus,DOX,-0.052
S. aureus,DPT,1.4617
S. aureus,FOS,-2.8851
S. aureus,GEN,1.8991
S. aureus,IMP,-0.0287
S. aureus,LEV,-1.0242
S. aureus,LIZ,0.2491
S. aureus,MER,0.1176
S. aureus,MOX,-0.2398
S. aureus,PIT,-1.2022
S. aureus,RAM,-0.0166
S. aureus,ROX,-2.3154
S. aureus,SXT,-0.1612
S. aureus,TOB,-8.8309
S. aureus,TPL,-0.2204
S. aureus,VAN,0.0843
E. coli,AMK,-0.8454
E. coli,AMS,3.2065
E. coli,AZT,-0.0104
E. coli,CAZ,-0.0309
E. coli,CIP,-0.0201
E. coli,COL,-0.5511
E. coli,CTX,-0.0162
E. coli,CXM,-1.6103
E. coli,FOS,-5.7965
E. coli,GEN,-0.0835
E. coli,IMP,-0.1397
E. coli,LEV,-0.0243
E. coli,MER,-0.0019
E. coli,MOX,-0.0289
E. coli,PIP,27.3487
E. coli,PIT,-0.9553
E. coli,SXT,-0.1966
E. coli,TOB,-0.2861
P. aeruginosa,AMK,-0.3663
P. aeruginosa,AZT,1.756
P. aeruginosa,CAZ,-1.5822
P. aeruginosa,CIP,-0.0557
P. aeruginosa,COL,-0.09
P. aeruginosa,IMP,0.4606
P. aeruginosa,LEV,0.2376
P. aeruginosa,MER,0.1096
P. aeruginosa,PIP,-25.7702
P. aeruginosa,PIT,-2.3374
P. aeruginosa,TOB,-0.1346
S. aureus,AMK,-73.7454
S. aureus,AMS,-1.9875
S. aureus,CIP,-2.2074
S. aureus,CLI,-6.5237
S. aureus,CTX,-13.5659
S. aureus,CXM,-49.5789
S. aureus,DOX,-1.889
S. aureus,DPT,-0.766
S. aureus,FOS,-39.7472
S. aureus,GEN,-100.96
S. aureus,IMP,-1.7467
S. aureus,LEV,-2.3485
S. aureus,LIZ,0.0985
S. aureus,MER,-4.3909
S. aureus,MOX,-0.6829
S. aureus,PIT,-6.4482
S. aureus,RAM,-0.6122
S. aureus,ROX,-10.3539
S. aureus,SXT,-0.2599
S. aureus,TOB,-0.0687
S. aureus,TPL,-0.1479
S. aureus,VAN,-0.5823
E. coli,AMK,2.5785
E. coli,AMS,46.33
E. coli,AZT,-0.3596
E. coli,CAZ,0.0328
E. coli,CIP,-0.5108
E. coli,COL,-0.3957
E. coli,CTX,-0.2581
E. coli,CXM,-6.2826
E. coli,FOS,-6.7634
E. coli,GEN,0.2156
E. coli,IMP,0.1579
E. coli,LEV,-0.6255
E. coli,MER,-0.026
E. coli,MOX,-1.207
E. coli,PIP,116.1308
E. coli,PIT,-0.129
E. coli,SXT,-4.1576
E. coli,TOB,0.4931
Ent. faecalis,AMS,0.412
Ent. faecalis,IMP,-0.3788
Ent. faecalis,LIZ,0.05
Ent. faecalis,PIP,24.5129
Ent. faecalis,PIT,-1.1412
Ent. faecalis,SXT,-0.2231
Ent. faecalis,TPL,-0.1322
Ent. faecalis,VAN,-0.099
E. coli,AMK,-0.2865
E. coli,AMS,-8.7037
E. coli,AZT,-0.3484
E. coli,CAZ,0.0545
E. coli,CIP,7.832
E. coli,COL,0.198
E. coli,CTX,-0.1286
E. coli,CXM,-1.2695
E. coli,FOS,5.9934
E. coli,GEN,-0.3052
E. coli,IMP,-0.2437
E. coli,LEV,7.7674
E. coli,MER,-0.0229
E. coli,MOX,7.5854
E. coli,PIP,-6.1354
E. coli,PIT,1.9107
E. coli,SXT,0.6711
E. coli,TOB,-0.1732
S. aureus,AMK,-0.7169
S. aureus,AMS,0.436
S. aureus,CIP,0.0693
S. aureus,CLI,-0.2132
S. aureus,CTX,-1.5596
S. aureus,CXM,-3.0202
S. aureus,DOX,-0.1361
S. aureus,DPT,-0.3569
S. aureus,FOS,-3.362
S. aureus,GEN,-0.4936
S. aureus,IMP,-0.1257
S. aureus,LEV,-0.5168
S. aureus,LIZ,-0.2904
S. aureus,MER,-0.2305
S. aureus,MOX,-0.0249
S. aureus,PIT,-1.1269
S. aureus,RAM,-0.0328
S. aureus,ROX,-1.8415
S. aureus,SXT,-0.0879
S. aureus,TOB,8.4456
S. aureus,TPL,0.6707
S. aureus,VAN,0.1069
E. coli,AMK,-0.3797
E. coli,AMS,9.0932
E. coli,AZT,-1.1594
E. coli,CAZ,-0.8866
E. coli,CIP,-0.2799
E. coli,COL,-0.5011
E. coli,CTX,-0.8776
E. coli,CXM,-14.6676
E. coli,FOS,-15.263
E. coli,GEN,-0.1808
E. coli,IMP,-0.3381
E. coli,LEV,-0.3655
E. coli,MER,-0.0426
E. coli,MOX,-0.6819
E. coli,PIP,14.698
E. coli,PIT,-1.223
E. coli,SXT,-2.4238
E. coli,TOB,-0.3816
Ent. faecalis,AMS,0.0368
Ent. faecalis,IMP,1.3406
Ent. faecalis,LIZ,0.0552
Ent. faecalis,PIP,28.211
Ent. faecalis,PIT,-0.9467
Ent. faecalis,SXT,-0.1567
Ent. faecalis,TPL,-0.1365
Ent. faecalis,VAN,-0.5543
E. coli,AMK,-0.1152
E. coli,AMS,-2.9749
E. coli,AZT,-0.003
E. coli,CAZ,-0.0248
E. coli,CIP,-0.0288
E. coli,COL,-0.5743
E. coli,CTX,-0.0139
E. coli,CXM,-1.539
E. coli,FOS,10.0548
E. coli,GEN,0.1443
E. coli,IMP,0.0461
E. coli,LEV,-0.0364
E. coli,MER,-0.0016
E. coli,MOX,-0.0991
E. coli,PIP,-2.6619
E. coli,PIT,0.8215
E. coli,SXT,-0.0724
E. coli,TOB,0.1382
E. coli,AMK,0.7081
E. coli,AMS,-6.1062
E. coli,AZT,-0.483
E. coli,CAZ,-0.42
E. coli,CIP,-0.1503
E. coli,COL,-0.652
E. coli,CTX,-0.3132
E. coli,CXM,-8.9169
E. coli,FOS,-9.4349
E. coli,GEN,-0.0578
E. coli,IMP,-0.2604
E. coli,LEV,-0.2
E. coli,MER,-0.0271
E. coli,MOX,-0.388
E. coli,PIP,4.6378
E. coli,PIT,-1.3263
E. coli,SXT,30.6689
E. coli,TOB,0.082
P. aeruginosa,AMK,0.4682
P. aeruginosa,AZT,-3.3344
P. aeruginosa,CAZ,-3.2126
P. aeruginosa,CIP,-0.5224
P. aeruginosa,COL,0.3434
P. aeruginosa,IMP,-0.1286
P. aeruginosa,LEV,-0.339
P. aeruginosa,MER,0.1001
P. aeruginosa,PIP,-38.8782
P. aeruginosa,PIT,-2.8582
P. aeruginosa,TOB,0.0321
Ent. faecalis,AMS,0.1574
Ent. faecalis,IMP,1.6173
Ent. faecalis,LIZ,0.1706
Ent. faecalis,PIP,10.4572
Ent. faecalis,PIT,1.7553
Ent. faecalis,SXT,-0.128
Ent. faecalis,TPL,-0.1829
Ent. faecalis,VAN,0.0477
P. aeruginosa,AMK,-0.9768
P. aeruginosa,AZT,62.7032
P. aeruginosa,CAZ,1.0147
P. aeruginosa,CIP,0.1736
P. aeruginosa,COL,0.344
P. aeruginosa,IMP,0.1458
P. aeruginosa,LEV,0.1339
P. aeruginosa,MER,0.1485
P. aeruginosa,PIP,-6.6008
P. aeruginosa,PIT,0.797
P. aeruginosa,TOB,0.1419
P. aeruginosa,AMK,-19.3698
P. aeruginosa,AZT,-10.0051
P. aeruginosa,CAZ,31.8921
P. aeruginosa,CIP,-5.5052
P. aeruginosa,COL,-2.5842
P. aeruginosa,IMP,4.7984
P. aeruginosa,LEV,-3.33
P. aeruginosa,MER,6.7664
P. aeruginosa,PIP,-131.018
P. aeruginosa,PIT,108.252
P. aeruginosa,TOB,-23.4607
Ent. faecalis,AMS,-2.6406
Ent. faecalis,IMP,-2.083
Ent. faecalis,LIZ,-0.3881
Ent. faecalis,PIP,8.395
Ent. faecalis,PIT,-6.2239
Ent. faecalis,SXT,-0.3312
Ent. faecalis,TPL,-0.1509
Ent. faecalis,VAN,-0.6034
S. aureus,AMK,-0.461
S. aureus,AMS,0.029
S. aureus,CIP,-0.5489
S. aureus,CLI,-0.0003
S. aureus,CTX,-1.8199
S. aureus,CXM,-1.6228
S. aureus,DOX,0.1205
S. aureus,DPT,0.0821
S. aureus,FOS,-2.035
S. aureus,GEN,-0.0515
S. aureus,IMP,-0.07
S. aureus,LEV,-0.3205
S. aureus,LIZ,1.2356
S. aureus,MER,-0.1266
S. aureus,MOX,0.1293
S. aureus,PIT,-0.0931
S. aureus,RAM,-0.0144
S. aureus,ROX,-0.9204
S. aureus,SXT,15.8656
S. aureus,TOB,8.2117
S. aureus,TPL,0.1556
S. aureus,VAN,-0.3606
P. aeruginosa,AMK,0.3824
P. aeruginosa,AZT,21.739
P. aeruginosa,CAZ,58.3991
P. aeruginosa,CIP,-0.9925
P. aeruginosa,COL,0.3346
P. aeruginosa,IMP,1.2889
P. aeruginosa,LEV,-0.3872
P. aeruginosa,MER,0.0877
P. aeruginosa,PIP,74.2633
P. aeruginosa,PIT,120.0434
P. aeruginosa,TOB,-0.0032
P. aeruginosa,AMK,-0.3821
P. aeruginosa,AZT,-1.6292
P. aeruginosa,CAZ,-1.297
P. aeruginosa,CIP,-0.0039
P. aeruginosa,COL,-0.178
P. aeruginosa,IMP,-0.2114
P. aeruginosa,LEV,0.6491
P. aeruginosa,MER,-0.0576
P. aeruginosa,PIP,-22.6393
P. aeruginosa,PIT,-3.3805
P. aeruginosa,TOB,-0.1708
S. aureus,AMK,0.5496
S. aureus,AMS,-0.0852
S. aureus,CIP,-0.3018
S. aureus,CLI,0.0324
S. aureus,CTX,0.8018
S. aureus,CXM,0.2637
S. aureus,DOX,0.0015
S. aureus,DPT,-0.0438
S. aureus,FOS,-0.5855
S. aureus,GEN,0.2002
S. aureus,IMP,0.0181
S. aureus,LEV,-0.064
S. aureus,LIZ,-0.2168
S. aureus,MER,0.0112
S. aureus,MOX,0.0131
S. aureus,PIT,-0.1983
S. aureus,RAM,0.0044
S. aureus,ROX,-0.3213
S. aureus,SXT,-0.0274
S. aureus,TOB,26.2567
S. aureus,TPL,-0.2135
S. aureus,VAN,-0.2458
E. coli,AMK,-0.3823
E. coli,AMS,-14.4913
E. coli,AZT,-0.5778
E. coli,CAZ,-0.4993
E. coli,CIP,7.6512
E. coli,COL,-0.5718
E. coli,CTX,-0.4088
E. coli,CXM,3.2811
E. coli,FOS,4.768
E. coli,GEN,-0.4515
E. coli,IMP,-0.107
E. coli,LEV,7.5445
E. coli,MER,-0.0315
E. coli,MOX,7.1442
E. coli,PIP,2.6295
E. coli,PIT,-0.4901
E. coli,SXT,29.1571
E. coli,TOB,0.5324
P. aeruginosa,AMK,1.0024
P. aeruginosa,AZT,3.6083
P. aeruginosa,CAZ,0.6444
P. aeruginosa,CIP,0.1156
P. aeruginosa,COL,0.3832
P. aeruginosa,IMP,1.7749
P. aeruginosa,LEV,0.233
P. aeruginosa,MER,0.4238
P. aeruginosa,PIP,-4.4089
P. aeruginosa,PIT,0.1161
P. aeruginosa,TOB,0.23
E. coli,AMK,-0.8921
E. coli,AMS,9.229
E. coli,AZT,-0.1162
E. coli,CAZ,-0.1257
E. coli,CIP,-0.0346
E. coli,COL,-0.5224
E. coli,CTX,-0.0682
E. coli,CXM,-3.42
E. coli,FOS,-7.6751
E. coli,GEN,-0.3145
E. coli,IMP,-0.1741
E. coli,LEV,-0.0454
E. coli,MER,-0.0102
E. coli,MOX,-0.0629
E. coli,PIP,121.6492
E. coli,PIT,-0.5491
E. coli,SXT,31.6219
E. coli,TOB,0.1407
Ent. faecalis,AMS,-0.8489
Ent. faecalis,IMP,-0.5231
Ent. faecalis,LIZ,1.0718
Ent. faecalis,PIP,22.6378
Ent. faecalis,PIT,-0.2002
Ent. faecalis,SXT,-0.1965
Ent. faecalis,TPL,-0.1405
Ent. faecalis,VAN,-0.068
S. aureus,AMK,-132.1725
S. aureus,AMS,-2.9181
S. aureus,CIP,-3.3369
S. aureus,CLI,-12.2117
S. aureus,CTX,-17.813
S. aureus,CXM,-85.4293
S. aureus,DOX,-2.8452
S. aureus,DPT,-0.6502
S. aureus,FOS,-62.257
S. aureus,GEN,-246.2467
S. aureus,IMP,-3.0466
S. aureus,LEV,-3.3982
S. aureus,LIZ,1.0939
S. aureus,MER,-8.1989
S. aureus,MOX,-0.9928
S. aureus,PIT,-9.816
S. aureus,RAM,-0.9711
S. aureus,ROX,-14.6459
S. aureus,SXT,-0.3289
S. aureus,TOB,-5.3133
S. aureus,TPL,-0.1443
S. aureus,VAN,-0.1164
E. coli,AMK,6.5894
E. coli,AMS,-21.8789
E. coli,AZT,-1.0586
E. coli,CAZ,-0.8286
E. coli,CIP,-0.3732
E. coli,COL,-0.2796
E. coli,CTX,-0.8115
E. coli,CXM,-10.0705
E. coli,FOS,1.4188
E. coli,GEN,0.2624
E. coli,IMP,-0.1537
E. coli,LEV,-0.477
E. coli,MER,-0.0417
E. coli,MOX,-0.9125
E. coli,PIP,-15.2592
E. coli,PIT,-1.1183
E. coli,SXT,-3.2039
E. coli,TOB,0.0345
Ent. faecalis,AMS,0.6122
Ent. faecalis,IMP,2.6313
Ent. faecalis,LIZ,0.9831
Ent. faecalis,PIP,58.0746
Ent. faecalis,PIT,-0.6761
Ent. faecalis,SXT,-0.2154
Ent. faecalis,TPL,0.2674
Ent. faecalis,VAN,0.8537
P. aeruginosa,AMK,-2.4331
P. aeruginosa,AZT,-8.6837
P. aeruginosa,CAZ,-6.5418
P. aeruginosa,CIP,-3.2349
P. aeruginosa,COL,-0.4453
P. aeruginosa,IMP,-0.2938
P. aeruginosa,LEV,-2.997
P. aeruginosa,MER,-0.0989
P. aeruginosa,PIP,-92.9447
P. aeruginosa,PIT,-3.0263
P. aeruginosa,TOB,-2.0635
S. aureus,AMK,-8.6444
S. aureus,AMS,-0.2563
S. aureus,CIP,-0.2432
S. aureus,CLI,-0.4639
S. aureus,CTX,-3.0361
S. aureus,CXM,-5.1448
S. aureus,DOX,-0.4111
S. aureus,DPT,-0.1669
S. aureus,FOS,-6.9558
S. aureus,GEN,-3.6298
S. aureus,IMP,-0.1057
S. aureus,LEV,-0.1377
S. aureus,LIZ,0.0644
S. aureus,MER,-0.2564
S. aureus,MOX,0.0216
S. aureus,PIT,-0.8007
S. aureus,RAM,-0.1086
S. aureus,ROX,-2.0085
S. aureus,SXT,-0.0717
S. aureus,TOB,29.1064
S. aureus,TPL,-0.1443
S. aureus,VAN,-0.4765
Ent. faecalis,AMS,0.1433
Ent. faecalis,IMP,0.441
Ent. faecalis,LIZ,0.0858
Ent. faecalis,PIP,17.5267
Ent. faecalis,PIT,2.1119
Ent. faecalis,SXT,-0.2411
Ent. faecalis,TPL,-0.1439
Ent. faecalis,VAN,-0.0824
S. aureus,AMK,-30.4524
S. aureus,AMS,-0.9347
S. aureus,CIP,-0.6076
S. aureus,CLI,-2.3969
S. aureus,CTX,-6.6653
S. aureus,CXM,-18.8115
S. aureus,DOX,-1.0336
S. aureus,DPT,-0.3556
S. aureus,FOS,-19.7899
S. aureus,GEN,-26.6015
S. aureus,IMP,-0.6306
S. aureus,LEV,-1.0201
S. aureus,LIZ,0.0857
S. aureus,MER,-1.4712
S. aureus,MOX,-0.2609
S. aureus,PIT,-2.9228
S. aureus,RAM,-0.3089
S. aureus,ROX,-4.913
S. aureus,SXT,-0.1639
S. aureus,TOB,11.8178
S. aureus,TPL,0.2282
S. aureus,VAN,-0.0377
S. aureus,AMK,0.0175
S. aureus,AMS,-0.4902
S. aureus,CIP,7.0507
S. aureus,CLI,0.0266
S. aureus,CTX,-0.8977
S. aureus,CXM,-0.6098
S. aureus,DOX,0.1513
S. aureus,DPT,0.125
S. aureus,FOS,-0.1438
S. aureus,GEN,0.0636
S. aureus,IMP,-0.0982
S. aureus,LEV,15.4254
S. aureus,LIZ,1.2887
S. aureus,MER,-0.1522
S. aureus,MOX,3.8418
S. aureus,PIT,-0.3699
S. aureus,RAM,-0.0069
S. aureus,ROX,-0.8854
S. aureus,SXT,-0.0863
S. aureus,TOB,-2.4313
S. aureus,TPL,-0.2495
S. aureus,VAN,0.1653
E. coli,AMK,2.6324
E. coli,AMS,46.6723
E. coli,AZT,-0.5212
E. coli,CAZ,-0.0818
E. coli,CIP,1.6851
E. coli,COL,-0.3218
E. coli,CTX,-0.3621
E. coli,CXM,-7.9406
E. coli,FOS,-10.3864
E. coli,GEN,-0.4282
E. coli,IMP,-0.2847
E. coli,LEV,7.5857
E. coli,MER,-0.0298
E. coli,MOX,7.2256
E. coli,PIP,19.3079
E. coli,PIT,-0.3999
E. coli,SXT,-2.4887
E. coli,TOB,7.5384
E. coli,AMK,0.5469
E. coli,AMS,-27.9615
E. coli,AZT,-1.4213
E. coli,CAZ,-1.0665
E. coli,CIP,-0.4971
E. coli,COL,-0.2756
E. coli,CTX,-1.1683
E. coli,CXM,-18.0084
E. coli,FOS,-15.7078
E. coli,GEN,0.1909
E. coli,IMP,-0.3764
E. coli,LEV,-0.6258
E. coli,MER,-0.048
E. coli,MOX,-1.0879
E. coli,PIP,-18.2406
E. coli,PIT,-2.5054
E. coli,SXT,-4.3224
E. coli,TOB,0.519
P. aeruginosa,AMK,0.3287
P. aeruginosa,AZT,2.3447
P. aeruginosa,CAZ,0.6896
P. aeruginosa,CIP,-2.3962
P. aeruginosa,COL,0.0991
P. aeruginosa,IMP,0.4838
P. aeruginosa,LEV,-2.2956
P. aeruginosa,MER,0.3831
P. aeruginosa,PIP,-21.6432
P. aeruginosa,PIT,0.3461
P. aeruginosa,TOB,-0.3678
Ent. faecalis,AMS,0.2289
Ent. faecalis,IMP,0.434
Ent. faecalis,LIZ,0.994
Ent. faecalis,PIP,39.056
Ent. faecalis,PIT,-0.4486
Ent. faecalis,SXT,-0.1393
Ent. faecalis,TPL,-0.118
Ent. faecalis,VAN,0.9164
S. aureus,AMK,-0.9588
S. aureus,AMS,-0.1834
S. aureus,CIP,7.3903
S. aureus,CLI,-0.1808
S. aureus,CTX,-0.7513
S. aureus,CXM,-0.7438
S. aureus,DOX,-0.1475
S. aureus,DPT,-0.0054
S. aureus,FOS,-2.9629
S. aureus,GEN,-0.4685
S. aureus,IMP,-0.037
S. aureus,LEV,15.7016
S. aureus,LIZ,0.1372
S. aureus,MER,-0.0967
S. aureus,MOX,3.9212
S. aureus,PIT,0.2306
S. aureus,RAM,-0.0348
S. aureus,ROX,-1.0179
S. aureus,SXT,-0.0524
S. aureus,TOB,25.2497
S. aureus,TPL,-0.1739
S. aureus,VAN,0.0923
E. coli,AMK,-0.3949
E. coli,AMS,-22.0923
E. coli,AZT,-1.2142
E. coli,CAZ,-0.9243
E. coli,CIP,-0.3161
E. coli,COL,-0.5059
E. coli,CTX,-0.9354
E. coli,CXM,-15.3595
E. coli,FOS,-7.8784
E. coli,GEN,-0.456
E. coli,IMP,-0.3461
E. coli,LEV,-0.4099
E. coli,MER,-0.0437
E. coli,MOX,-0.7678
E. coli,PIP,-15.9045
E. coli,PIT,-3.0343
E. coli,SXT,-2.739
E. coli,TOB,-0.2016
S. aureus,AMK,-29.4354
S. aureus,AMS,-0.7113
S. aureus,CIP,-0.8565
S. aureus,CLI,-2.0668
S. aureus,CTX,-5.6506
S. aureus,CXM,-16.0893
S. aureus,DOX,-0.9851
S. aureus,DPT,-0.3513
S. aureus,FOS,-17.8325
S. aureus,GEN,-22.8996
S. aureus,IMP,-0.4645
S. aureus,LEV,-0.7739
S. aureus,LIZ,-0.4378
S. aureus,MER,-1.0993
S. aureus,MOX,-0.188
S. aureus,PIT,-2.254
S. aureus,RAM,-0.2905
S. aureus,ROX,26.7709
S. aureus,SXT,-0.1402
S. aureus,TOB,17.6373
S. aureus,TPL,-0.1396
S. aureus,VAN,-0.5377
Ent. faecalis,AMS,-1.4195
Ent. faecalis,IMP,-2.0755
Ent. faecalis,LIZ,1.0444
Ent. faecalis,PIP,21.5647
Ent. faecalis,PIT,-4.2257
Ent. faecalis,SXT,-0.2947
Ent. faecalis,TPL,-0.1283
Ent. faecalis,VAN,0.8608
P. aeruginosa,AMK,2.65
P. aeruginosa,AZT,14.6214
P. aeruginosa,CAZ,0.9361
P. aeruginosa,CIP,-0.1013
P. aeruginosa,COL,3.2748
P. aeruginosa,IMP,0.6031
P. aeruginosa,LEV,0.1882
P. aeruginosa,MER,-0.0432
P. aeruginosa,PIP,-1.2739
P. aeruginosa,PIT,4.6843
P. aeruginosa,TOB,0.0756
S. aureus,AMK,-2.0317
S. aureus,AMS,-0.2181
S. aureus,CIP,-0.1658
S. aureus,CLI,-0.2044
S. aureus,CTX,0.8857
S. aureus,CXM,-2.9354
S. aureus,DOX,-0.0099
S. aureus,DPT,-0.4172
S. aureus,FOS,-3.791
S. aureus,GEN,-0.8819
S. aureus,IMP,-0.0582
S. aureus,LEV,-0.2116
S. aureus,LIZ,0.1247
S. aureus,MER,-0.1392
S. aureus,MOX,-0.0738
S. aureus,PIT,-0.6276
S. aureus,RAM,-0.0483
S. aureus,ROX,-1.2693
S. aureus,SXT,-0.06
S. aureus,TOB,24.9181
S. aureus,TPL,-0.168
S. aureus,VAN,-0.4244
P. aeruginosa,AMK,-0.2544
P. aeruginosa,AZT,-0.4594
P. aeruginosa,CAZ,-0.5902
P. aeruginosa,CIP,0.1541
P. aeruginosa,COL,-0.1614
P. aeruginosa,IMP,-0.1211
P. aeruginosa,LEV,0.8569
P. aeruginosa,MER,-0.0419
P. aeruginosa,PIP,-14.8798
P. aeruginosa,PIT,-2.3758
P. aeruginosa,TOB,-0.1194
Ent. faecalis,AMS,0.0382
Ent. faecalis,IMP,0.4575
Ent. faecalis,LIZ,1.1207
Ent. faecalis,PIP,17.8501
Ent. faecalis,PIT,1.2532
Ent. faecalis,SXT,-0.1482
Ent. faecalis,TPL,-0.1607
Ent. faecalis,VAN,-0.0023
P. aeruginosa,AMK,0.598
P. aeruginosa,AZT,0.5138
P. aeruginosa,CAZ,-0.2623
P. aeruginosa,CIP,-0.1547
P. aeruginosa,COL,0.3385
P. aeruginosa,IMP,0.005
P. aeruginosa,LEV,0.1146
P. aeruginosa,MER,0.8729
P. aeruginosa,PIP,-23.2757
P. aeruginosa,PIT,-0.9492
P. aeruginosa,TOB,0.0776
P. aeruginosa,AMK,-0.5309
P. aeruginosa,AZT,59.9694
P. aeruginosa,CAZ,-0.6068
P. aeruginosa,CIP,-0.6175
P. aeruginosa,COL,0.284
P. aeruginosa,IMP,-0.0591
P. aeruginosa,LEV,-0.6884
P. aeruginosa,MER,0.1158
P. aeruginosa,PIP,-25.0783
P. aeruginosa,PIT,-1.3073
P. aeruginosa,TOB,-0.4278
P. aeruginosa,AMK,0.458
P. aeruginosa,AZT,4.2038
P. aeruginosa,CAZ,-0.4898
P. aeruginosa,CIP,3.1816
P. aeruginosa,COL,0.2718
P. aeruginosa,IMP,0.4431
P. aeruginosa,LEV,6.9762
P. aeruginosa,MER,-0.0705
P. aeruginosa,PIP,-24.5791
P. aeruginosa,PIT,10.8238
P. aeruginosa,TOB,0.0009
S. aureus,AMK,-89.675
S. aureus,AMS,2.4729
S. aureus,CIP,-0.1709
S. aureus,CLI,-6.7792
S. aureus,CTX,-11.1775
S. aureus,CXM,-42.4766
S. aureus,DOX,-1.992
S. aureus,DPT,-0.5832
S. aureus,FOS,-39.7472
S. aureus,GEN,-123.4108
S. aureus,IMP,-1.2737
S. aureus,LEV,-1.2275
S. aureus,LIZ,0.0411
S. aureus,MER,-3.3545
S. aureus,MOX,-0.3725
S. aureus,PIT,-0.9683
S. aureus,RAM,-0.7072
S. aureus,ROX,-8.921
S. aureus,SXT,15.7188
S. aureus,TOB,10.4919
S. aureus,TPL,0.2456
S. aureus,VAN,-0.103
Ent. faecalis,AMS,0.7066
Ent. faecalis,IMP,0.0154
Ent. faecalis,LIZ,0.064
Ent. faecalis,PIP,24.2215
Ent. faecalis,PIT,-0.042
Ent. faecalis,SXT,-0.192
Ent. faecalis,TPL,-0.138
Ent. faecalis,VAN,-0.5709
Ent. faecalis,AMS,-0.3338
Ent. faecalis,IMP,-0.0186
Ent. faecalis,LIZ,-0.4323
Ent. faecalis,PIP,23.3758
Ent. faecalis,PIT,-2.1657
Ent. faecalis,SXT,-0.1955
Ent. faecalis,TPL,-0.1391
Ent. faecalis,VAN,0.9296
P. aeruginosa,AMK,0.6249
P. aeruginosa,AZT,27.7575
P. aeruginosa,CAZ,61.367
P. aeruginosa,CIP,0.0365
P. aeruginosa,COL,1.3713
P. aeruginosa,IMP,7.4963
P. aeruginosa,LEV,0.6972
P. aeruginosa,MER,7.869
P. aeruginosa,PIP,99.1506
P. aeruginosa,PIT,122.626
P. aeruginosa,TOB,0.0987
E. coli,AMK,-0.8124
E. coli,AMS,-4.1385
E. coli,AZT,-0.2242
E. coli,CAZ,-0.2052
E. coli,CIP,-0.0044
E. coli,COL,-0.4239
E. coli,CTX,-0.1128
E. coli,CXM,1.5627
E. coli,FOS,4.8328
E. coli,GEN,-0.2265
E. coli,IMP,-0.1729
E. coli,LEV,-0.0022
E. coli,MER,-0.0136
E. coli,MOX,-0.0322
E. coli,PIP,-4.6941
E. coli,PIT,0.1966
E. coli,SXT,-0.0897
E. coli,TOB,-0.0557
S. aureus,AMK,0.3875
S. aureus,AMS,0.324
S. aureus,CIP,7.626
S. aureus,CLI,-0.0138
S. aureus,CTX,3.2099
S. aureus,CXM,1.4269
S. aureus,DOX,-0.0226
S. aureus,DPT,-0.0088
S. aureus,FOS,-0.9477
S. aureus,GEN,-0.0148
S. aureus,IMP,0.0162
S. aureus,LEV,15.8384
S. aureus,LIZ,0.3351
S. aureus,MER,0.0123
S. aureus,MOX,3.9575
S. aureus,PIT,1.6126
S. aureus,RAM,0.0033
S. aureus,ROX,0.0728
S. aureus,SXT,-0.0255
S. aureus,TOB,45.2039
S. aureus,TPL,-0.1714
S. aureus,VAN,-0.147
P. aeruginosa,AMK,-0.2849
P. aeruginosa,AZT,2.944
P. aeruginosa,CAZ,1.1529
P. aeruginosa,CIP,0.1134
P. aeruginosa,COL,0.2874
P. aeruginosa,IMP,0.6425
P. aeruginosa,LEV,0.3039
P. aeruginosa,MER,0.4009
P. aeruginosa,PIP,-10.309
P. aeruginosa,PIT,1.0547
P. aeruginosa,TOB,0.1039
P. aeruginosa,AMK,0.5715
P. aeruginosa,AZT,0.8699
P. aeruginosa,CAZ,-1.0864
P. aeruginosa,CIP,-0.3402
P. aeruginosa,COL,0.3136
P. aeruginosa,IMP,1.5056
P. aeruginosa,LEV,0.0215
P. aeruginosa,MER,0.3747
P. aeruginosa,PIP,-18.7655
P. aeruginosa,PIT,3.2661
P. aeruginosa,TOB,0.0592
P. aeruginosa,AMK,0.4583
